review,sentiment
"Dad (78) and I (46) both had a good time watching the flick today. For a guy primarily known for serious roles, De Niro is a heckuva comic actor. Of course, it helps to have his past film images to play against. Consider that one of those roles, 15 MINUTES, was a cop having to deal with the interference of the mass media, and you have an interesting set of compare/contrast performances.<br /><br />Murphy plays another of his Axel Foley sort of characters. Shatner plays a burlesque of himself, a parallel world self who was best known for TJ HOOKER and not STAR TREK.<br /><br />It's interesting to watch how the film comments on the contrasts between the reality of police work and its fictional counterparts in TV and film. Shatner lectures on the proper means of sliding across a car hood; De Niro points out holsters scratch the hood finish. Ironically, as the film progresses, De Niro's character begins to incorporate the illusions of TV-cop reality into the real world case he's working.<br /><br />The film draws its inspiration from a gamut of sources, so one could make the comment it is derivative. Well, so what? Satire needs to derive its humor in order to exist. And besides, the film does have quirky moments of originality. For example, I'm reasonably sure the method of the villain's death has never been done before. <br /><br />One quibble about the reality of the weapons involved-- shouldn't those guns have had some kind of recoil? In order to penetrate steel, those bullets had to have enough inertia to penetrate. And any bullet's highest level of inertia is at the moment of firing. So.... firing a volley of these tank-killer bullets should have driven the shooters back onto their butts. Oh, what the heck... it's a satire. Maybe the guns' lack of recoil is itself a satire on the B-F-Guns used so casually in thrillers. <br /><br />",positive
"This movie is full of pseudo deep thoughtfulness and it's cloying in its writerly-ness, that includes a canned ham voice-over and some unbelievable dialogue. Dialogue that is tinny and tone deaf the way Spike sometimes (not always) is when writing ""certain"" characters. For those that like nonsense films like Pieces of April and One Hour Photo, this is another one for you.<br /><br />That said, this comment is nothing against Ryan Gosling who has shown his awesome chops in The Believer. A film that proves that movies are a director's medium, and when a movie is rotten it's fair to say the fault lies there and not in the actors.",negative
"Legend has it that at the gala Hollywood premiere screening of 2001: A Space Odyssey, about 20 minutes into the film Rock Hudson yelled out ""Would somebody please tell me what the hell this movie is about?"" Well, I have Rock beaten by about 19 minutes, 59 seconds. This movie made absolutely no sense at all. Who were those people? Where were those people? What were the rules of the game called Quintet? Are there any rules to Quintet? Were Robert Altman and his cohorts making the movie up as they went along? What was Paul Newman thinking when he signed on to this? Maybe ol' Fast Eddie saw Zardoz and thought ""Well if Connery can get involved in a futuristic film that makes no sense, so can I."" Maybe the good stuff is on the cutting room floor and all we get to see is the incoherent stuff. Also, did all the cast get to keep their individual funny hats? You never saw such bizarre looking hats all in one place in your life. Quintet just confirms what I've always thought: when Altman's good he's superb, but when he's bad, he makes stuff like Quintet",negative
"The first time I saw this was when I was with a date, and she thought it was an awesome movie. I didn't.<br /><br />The second time I saw this was last night on TV. It still sucks.<br /><br />As a love story this sucks. As having Julia portray a street hooker, this is repulsive. To me she was a librarian with a miniskirt and heels. She had no tough shell to her. She wasn't tortured, anguished, enraged, starving or anything else. Her ""HOOKER"" character was so flawed, like comparing a cubic zircon to a diamond. The two simply don't fit, no matter what they look like.<br /><br />The ONLY cast I felt was worth watching was the 2 bitchy saleswomen, whom were excellently cast. They did such a fine job that I hated them for the few seconds that they were on screen. They had real definition, for the minor roles. OK, so the movie wasn't entirely trash...the two ignorant saleswomen saved the film.<br /><br />Aside from those two women sales people, the rest of the cast...including the big names was just crap. Either everybody was an ass-kisser or had absolutely no reason to fill any dialog in the movie aside from just complimenting Julia Roberts or kissing ass to Richard Gere.<br /><br />This was a movie about how when you walk around in high-heels and a tight skirt in Beverly Hills, people leer at you and guys who work in hotels gawk as if they just had a baseball bat struck to their face.<br /><br />While in reality, the women who are dressed to the nines in Beverly Hills are hookers and prostitutes to a higher degree, but since they aren't wearing the gaudy Madonna looking jewelry or the patent boots, they can look down on the others who do.<br /><br />The hotel cast was sickeningly sad to watch, and anybody who had any real character had less than a minute of screen time.<br /><br />This is an insult to romantic movies, comedies, dramas and even to prostitutes who face wealthy customers on a daily basis with hopes of having their lives work out perfect.<br /><br />The story is about Julia Roberts being PIMPED (yes PIMPED) by a multimillionaire in a business suit and limousine.<br /><br />She is still owned, still told how to act, how to move, what to wear, what to say, where to go and what to do. He is more controlling than a street pimp, but the folks at Disney/buena vista butter it up to make it easier to swallow.<br /><br />Had Richard Gere been a black man with a gold tooth and an AK-47 at his side instead of an attaché case, this movie would be about how a woman has to struggle to get away from the harshness of prostitution. Same story, different characters will make a very different outlook.<br /><br />Oh yeah, change the white man for a black man or Asian or Spanish, have the land business deal be changed to a deal of weapons or narcotics and the entire concept of romantic comedy is thrown away.<br /><br />As far as I'm concerned, Pretty Woman is still trash, dressed with ribbons and bows.<br /><br />I didn't like it 15 years ago, when I didn't understand it and was led by the Hollywood hype. I hate it now that i can see past the pretty decorations that is called ""love"".<br /><br />This movie is NOT a romantic comedy. It's a story on how to control a woman as long as you have the means and income to do so.<br /><br />This is an insult to strong women, weak women and women in general, as well as to my television screen.<br /><br />Do I hate it? Yes. Does it suck? Yes Would I recommend it to you? NO...well maybe if I really hated you.<br /><br />Will this review get posted? We'll see.<br /><br />Anywayz, that's all for now.",negative
"I have been an avid Jane Austen fan for many years. I had never seen this adaptation, so when I had heard of it, I came here and read all the excellent reviews. On that basis I eagerly ordered it from Netflix. What a cruel disappointment! They have taken one of the most subtle and bright comic novels and made it dull. Each character seems to have been dealt a single facial expression, a single tone upon which to base their flat characters. Although this adaptation seems to have used every word that Jane Austen wrote, they appear to have been passed around to characters in a random fashion. Even though it was done as a miniseries, this adaptation manages to confuse and feel as rushed as if it had been done as a movie of the week.<br /><br />Mr. Bennett too harsh, Mrs. Bennet just a chattering chipmunk, Mr. Darcy as lifeless as a nutcracker, the Bennett girls almost indistinguishable and Mr. Wickham a man who no one would look twice at - hardly the appealing cad! I'm quite put out!",negative
"I'm sorry to see that it has been rated that low by many people. The series started off very good and after the first season it wasn't that good.<br /><br />People tend to forget the beginning of something and only look at the end. This is not good to do, you should look at the total, not the end result. It is sad that a lot of the ""usual"" characters died but, damn, we had a lot of nice NEW characters.<br /><br />Please do not attach yourself to a few characters but attach yourself to the series, the plot. Please do understand that I didn't like it when Boone died, when Augur died but well... it needs to be done. Can you imagine that everyone keeps living the whole series when they are in a lot of danger all the time? Come on, face it, if they didn't die they would be invincible. In this way you will always keep the tension, will he survive, will he die? I do realize that people attach their selves to characters, I do that too. My favorite character was Augur, the one who could get into every computer he wanted. He was the one who was mysterious, he could do things with the computer no one else could do.<br /><br />I wish to make one statement to all the people who vote negative, does a series which started so good deserve to have such low rating? Should we look at the final season instead of the total? Should we not see how good the series was when it started? Should we not see how much we enjoyed it?",positive
"I tried to watch this adaptation, but it was just so awful I couldn't torture myself like that. The performances were quite sub-par, with the exception of Ariel. Fonda was way over the top in a role that should be handled with some subtlety. I have studied Shakespeare and seen many adaptations, and this is, by far, the worst one I have ever seen. I have to wonder why on Earth someone made this film. Shakespeare can, and has been, beautifully adapted in many cases. This is not one of them. If you must watch this film, may I suggest a drinking game? Take a drink every time they go off book from the original idea and two drinks every time Fonda overacts. You should be quite drunk in a very short time.",negative
"Ladies and gentlemen: the show begins with this documentary film. It's structured in three chapters, each one chronologically arranged. The first presents the classical physics and links to Einstein. The second studies in depth the quantum physics and enters in String theory. The last reveals the Everything theory... The difficult concepts used here are introduced in a very simple way, with daily objects; although you must believe them without checking by yourself -if you are not a scientist- (and even if you are a scientist!!). The film is not a masterpiece by its fabulous technique or the way it's produced; what really imports is the story, and WHAT A STORY!!!",positive
"What the hell was all that about? I saw The Matrix and was amazed. It was the most spectacular movie ever made. What ever possesed the Wachowski brothers to do this film is beyond me.<br /><br />There is no plot, you can't argue with that. Basically all this film was was a load of talking, and don't get me wrong, I have no problem with talky films, but all the talking in The Matrix Reloaded was a pointless load of drivvle. Then there would be a fight sequence which lasted WAY too long, then more pointless drivvle, then another fight scene that lasts too long and it all builds up to the biggest anti-climax ever. A little bearded bloke talking a load of uncomprehensible bull for 20 minutes.<br /><br />Also, Keanu Reeves gives his worst performance yet. I knew he wasn't a good actor but this was beyond a joke. If you watch his films in the order he was in them it would seem he got gradually worse as they went along. God knows what his performance is like in Something's Gotta Give! Keanu Reeves: The only plank of wood ever to become an actor.<br /><br />After the splendor of the first film this came as a massive dissapointment. If you haven't already seen the first film I suggest you watch it, but don't waste your time with this utter pile of turd.<br /><br />",negative
"If I had never seen the first Road House, then I guess this movie might get one more star, but even then that makes it a 3 star movie. For that matter I was really surprised as to the relatively high rating it currently has.<br /><br />In reality, I was not able to finish this movie, as it was painful. Where it went wrong (at least the most obvious way) is that it pretty much parallels the original exactly even though the original plot is still referenced. This doesn't really make sense and doesn't work. Also, the acting is weak...I never felt like I was into the movie yet I felt like I was watching people act. Even good actors like Busey don't work out, probably due to the screenplay or maybe the awkward editing. The strangest thing is that the movie feels like a mid 90's B movie, yet is made in 06. I am not sure as to why, but then again, this often seems to happen with sequels for some reason. The music, the look, and the whole overall feel reminds me of movies you saw 10 years ago on Cinemax late at night. The strangest thing of all is that I am also expecting Ja Rule to come in at some point...often it reminds me of more current movies with rappers as actors.<br /><br />The most irritating thing is love interest girl who's character seems like a total rip off of the Lois Lane character on Smallville which is also quite annoying. And lets not forget the fakest sounding ""southern accents"" I have heard since Walk the Line. I realize this is common place in movies, but no accent at all would work better than attempting to sound like you are from that universal hick place on TV where anyone from any southern state (or KY and WV) sound exactly the same. Sure, people in desert towns in AZ sound just like people in Southeastern states 2000+ miles away. That was wearing thin 10 years ago in the B movies where technique came from. Why do writers / directors make such decisions? <br /><br />Bottom line: I would truly not recommend this if you are a fan of Road House or if you like good movies. Also, if you have not seen it yet, don't spoil it by seeing this version first. The original Road House was one of those accidental classics that people love and watch over and over. It was an unexpected success like American Graffiti, Dazed and Confused, and more recently Office Space, Fast and Furious (only the first one!), and Napolean Dynamite. Why did they spoil it!!!???<br /><br />They should have never made a sequel to Road House other than a high budget version with the right actors / director. Sure, you can never top the original (ex: Bad News Bears, The Longest Yard, etc.), but at least if you can do it right it will be presentable as is the case with the examples I mentioned. But to make a low budget, off-network, self production of Road House is criminal.",negative
"Routine suspense yarn about a sociopath (Dillon) who gives his sperm to a clinic of human reproduction and starts to harrass the lives of the woman (Antony) and his husband (Mancuso). Extremely predictable, far-fetched and with undecided tone all the way. Don't lose your time with this one...make a baby instead!",negative
"This show was so exhausting to watch and there's only two numbers Drowned World (Substitute For Love) and Paradise (Not For Me) were you can sit down and just contemplate it all. The opening of this show will go down in history as the most visually thrilling, as Madonna enters the stage via a gigantic Swarovski crystal ball that comes down from the ceiling and the huge screens from behind it show images of horses galloping. Horses play a role in this show due to Madonna falling off one. The infamous scene of Madonna on the crucifix is in this show as a huge screen counts to 12 million, the number of how many African children are orphaned due to Aids. At the end a website address comes up for anyone interested in donating. We then go into the theme of the environment and again images of politics and religion are shown. There's an interlude and then the show starts again to the music of I Love New York and Ray of Light this part of the show is one of my favorites with the dancers doing there funny hand movements. Towards the end there's the Music number with the song Disco Inferno mixed in with the song and the dancers make more of there presence known. The ending again is full of energy as the show wraps up to the tunes of Lucky Star and Hung Up and hundreds of golden balloons fall from the ceiling at the end the message ""Have you confessed?"" comes up. The DVD is worth buying and when it came out the soundtrack for the show was added as a bonus. Jonas Akerlund did a great job with the footage for this show keeping it consistent with the style of the tour.",positive
"I wish I would have read more reviews and more opinions about this movie before I rented it. A waste of money. A waste of time. Very little dialog. The dialog was hard to understand in every way. The storyline and plot were both weak. The only thing that was nice at all was the cinematography.<br /><br />The characters were interesting. At the same time you will spend so much time trying to figure things out, because of the lack of dialog, that you will be rewinding the movie a lot. <br /><br />Do not watch this movie. It was a mess and will leave you feeling like a mess.<br /><br />You will say, what the heck was that, when the movie ends?",negative
"I first saw this movie when I was very little. I was born in 1985, so it was around the age when 80s cartoons were big. My mother taped it one day thinking I might like it. I had never even heard of the Rainbow Bright TV show before I was introduced to the movie. When I saw it (on one of those old BETA tapes...) I loved it. I became addicted to it. There are people who say it's badly written and all that, but it's a kid's movie, and things like that don't matter much to children. I loved the story, and especially liked the songs and all the female characters. Of course I pretended to be them, and in the scene where Rainbow first met Krys and they were repulsed they had to work with the opposite sex, I could totally relate. The story was the basic good vs. evil that children enjoy, and there were enough happy moments to balance out the scary ones. The world is a fantastic place that would stimulate the imagination of any young child. I am very glad I had an opportunity to see this movie when I was little. It made a big impact, and watching it now brings back happy memories of childhood. I would recommend to any parent with young children to rent this movie. It will trigger their imagination and provide plenty of entertainment. You're only a child once, so don't let them miss out on this one!",positive
"""Caligula"" shares many of the same attributes as the 1970 ""Fellini Satyricon"" with bizarre sights, freakishness, and depictions of sexual excesses all set in the ""glory"" of ancient Rome. But Fellini it ain't... First of all it is not as entertaining. Far too much screen time is devoted to bug-eyed, rubber-faced McDowell in the titular role. His performance is far too fey and campy to be convincing. The portrayals by Jay Robinson in ""The Robe"" (1953) and David Cain-Haughton in ""Emperor Caligula"" (1983) are far more persuasive and believable, with the latter being the most nuanced. Relief could have been judiciously provided by developing the surrounding characters more fully. As it is, they are little more than cyphers. One example is the role of Macro, played by Guido Mannari who has tremendous screen presence in an important role, but is mostly left in the background. The only positive features to credit are the adroit use of some Prokofiev and Stravinsky themes in the music score and the inclusion of some of the distasteful but nevertheless accurate actions of the despot. These two factors are far less than what is needed to relieve the prevailing tedium, however.",negative
Definitely one of the most witty and twisted who-dunnit I ever seen. Christopher Reeve and Micheal Caine were brilliant and kept me going through the whole affair. <br /><br />Very classy set pieces and the props really lend a sense of atmosphere to the proceedings. The minimalist feel works for the whole picture.<br /><br />My only complain isn't with the film itself but the lack of a decent widescreen edition of the movie on DVD. I own the fullscreen version (which proves I love the film enough to endure fullscreen presentation) but a awesome Deluxe or 'special' edition would most surely get my cash.,positive
"Faith and Mortality... viewed through the lens of an elderly Ashkenazi Jewish-American gentleman and a younger, African-American Jewish gentleman who waver between being at odds with each other and having frank talks about how their lives have unfolded over the years..<br /><br />Mostel's character is a tailor with chronic back problems, and a terminally ill wife; Belafonte's character is a career hustler, never settling on a regular job, and a fatal car accident leaves him in an odd Purgatory-- he must convince Mostel to renew his faith, as it has been failing along with his wife's health (and his own).. but Belafonte's Levine has his own problems, still pining for the girlfriend he left behind..<br /><br />Belafonte's character leaves the film before he seemingly should, and so the the ending is cryptic, and the film suffers somewhat from its ambiguous ending..<br /><br />This is not a 'typical' Hollywood movie on ethnic relations or about a person's crisis of faith.. it is worth watching more than once and appreciating the excellent performances of the principal actors..",positive
